VIN,ENGINE_DESC,TRANSMISSION_DESC,BODY_STYLE,PLATFORM,REPAIR_AGE,KM,CUSTOMER_VERBATIM,CORRECTION_VERBATIM,CAUSAL_PART_NM,TRANSACTION_CATEGORY,TOTALCOST,LBRCOST,REPORTING_COST,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION
3HCFDDED5NH572905,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10R80, GRX, GEN 1, ATSS, VAR 1",Crew Cab,Full-Size Trucks,21,33819,CS STEERING WHEEL LEATHER IS COMING UNDONE AT LOWER SECTION,"AUTORIZACIÓN ACEPTADA, VOLANTE REEMPLAZADO PARA CORREGIR LA PREOCUPACIÓN",WHEEL ASM-STRG *JET BLACK,FREG,238.04,63.71,205.96,SummitEdge Motors,AUBURN,IN,1
1HR49XEY6RF285876,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1","BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",Crew Cab,Full-Size Trucks,3,9088,General Concern [[Covered by W] service safety restraints light],REPLACED STEERING COLUMN HARNESS WITH ADDITIONAL AIR BAG,HARNESS ASM-STRG WHL HORN SW WRG,FREG,1166.27,190.58,1166.27,HorizonStar Auto,SAN ANTONIO,TX,1
3HNKBCR47NS151581,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3","EU:N:X:Z|TRANSMISSION BYT 9 SPD, 9T60, GEN 1",4 Door Utility,Crossover SUV,23,58324,steering wheel bezel bubbling SOP IN,replaced steering wheel,WHEEL ASM-STRG *JET BLACK,FREG_POL,284.89,57.2,284.89,LegacyRoad Motors,CAPE CORAL,FL,1
3HCFDEED0SH124676,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10R80, GRX, GEN 1, ATSS, VAR 1",Crew Cab,Full-Size Trucks,2,11537,HEATED STEERING WHEEL WHEN ENGAGED WILL TURN ON AND GO BACK OFF,INSPECT AND FOUND CODE B1A4C- FOLLOWING SERVICE PROCEDURES-FOUND STEERING WHEEL HEATER SHORTED-REPLACE STEERING WHEEL ASSEMBLY,WHEEL ASM-STRG *JET BLACK,FREG,482.78,119.23,438.78,CityLine Auto Sales,ELDERSBURG,MD,1
1HNSKCKDXNR189867,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,25,37708,CUSTOMER STATES NEW HEATED STEERING WHEEL INSTALLED AS RETROFIT ON R.O. 22330 IN COMING APART TOWARDS BOTTOM OF STEERING WHEEL,removed and replaced steering wheel,WHEEL ASM-STRG *JET BLACK,FREG,256.11,66.33,256.11,GoldPeak Car Traders,FREEHOLD,NJ,1
1HKKNLLS4SZ248206,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Crossover SUV,5,11781,RE&RE STEERING WHEEL. PART IS HERE,"INSPECTED STEERING WHEEL AND FOUND LEATHER UNDER STITCHING AT LEFT HAN D THUMB GRIP TO HAVE STARTED TO LIFT. PICTURES OFWHEELTAKEN, REPLACE ORDERED STEERING WHEEL PRA 496611700000",WHEEL ASM-STRG *BLACK,FREG,,31.93,355.82,RoyalDrive Motors,BRANTFORD,ON,1
3HRS9EED0LH255650,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,13,17008,CUSTOMER STATES THE FINISH ON THE STEERING WHEEL IS COMING OFF AND IT GETS REALLY STICKY WHEN IT GETS HOT OUT,REPLACED APPLIQUE,APPLIQUE ASM-STRG WHL TR SPOKE CVR *SYNTHESIS,FREG,120.37,88.31,120.37,SwiftStone Auto Sales,MUNCY,PA,1
1HYKNHRS6MZ221833,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Global Crossover Vehicles,32,35451,CUSTOMER STATES that the steering is very tight and you can hear it rubbing in the steering column when you turn PRA 497110800000,REPLACED STEERING WHEEL COMPLETEDLOP 0130 TIME .4,WHEEL ASM-STRG *BLACK,FREG,1026.53,59.88,718.53,PrimeWheel Auto,NEWPORT NEWS,VA,1
1HYKSSRL4SZ003381,NONE,NONE,4 Door Utility,BEV,8,13393,cs driver assistance warning light is coming on while driving,replace steering wheel,WHEEL ASM-STRG *BACKEN BLACKK,FREG,1474.06,118.9,1474.06,BlueStream Car Traders,RIDGELAND,MS,1
1HKKNXLS3SZ128369,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Crossover SUV,12,25341,CUSTOMER STATESCUSTOMER STATES VEHICLE STEERING WHEEL COMING APART IN OP CHECK AND ADVISE SOP STEERING WHEEL IN CHECK AND ADVISE,REPLACE STEERING WHEEL PRA 496735300000,WHEEL ASM-STRG *BLACK,FREG,481.95,86.57,481.95,Crestline Drive Auto,SIGNAL HILL,CA,1
1HC4WLE78RF260518,"GAS, 8 CYL, 6.6L, SIDI, VVT, CAST IRON","BYT 10 SPD, RWD 4.54 1ST, 2.86 2ND, 2.06 3RD, 1.7 1 4TH, 1.48 5TH, 1.26 6TH, 1.00 7TH, 10L",Crew Cab,Full-Size Trucks,4,13,CUSTOMER STATES THERE IS CLICKING TYPE NOISE COMING FROM STEERING WHEEL WHEN TURNING.E,REMOVED STEERING WHEEL AND DISASSEMBLED AND FOUND SCREW FLOATING AROUND BEHIND COVER REMOVED AND REASSEMBLED AND NOISE IS NO LONGERPRESENT,,FREG,101.85,101.85,101.85,WestPoint Motors,SARASOTA,FL,1
1HKKNXLS8MZ121378,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Crossover SUV,38,48660,11BUZ MINOR ELECTRICAL CUST STATES STITCHING COMING APART FROM STEERING WHEEL REPLACE STEERING WHEEL (SOP HERE) 7440130 .4 PRE AUTH# 493358100000,R&R steering wheel for bad stitching. -returned old wheel to parts department for warranty.,WHEEL ASM-STRG *DARK GALVANIE,FREG_POL,524.56,54.27,524.56,UrbanCrest Auto Sales,NEW BRITAIN,CT,1
